,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
935,"Education, Gaeilge and Religious Studies",MI011,409,,8,Mary Immaculate College
936,"Education, Gaeilge and Business Studies",MI012,401,,8,Mary Immaculate College
937,"Education, Mathematics and Gaeilge",MI013,444,,8,Mary Immaculate College
938,"Education, Mathematics and Business Studies",MI014,434,,8,Mary Immaculate College
939,Theology and Arts,MU001,290,290,8,"Pontifical University, St Patrick's College"
940,Theology,MU002,440,,8,"Pontifical University, St Patrick's College"
941,Computing (Degree Award options),NC003,260,,8,National College of Ireland (NCI)
942,Human Resource Management,NC005,300,,8,National College of Ireland (NCI)
943,Business,NC009,300,,8,National College of Ireland (NCI)
944,Psychology,NC010,400,,8,National College of Ireland (NCI)
945,Marketing Practice,NC020,280,,8,National College of Ireland (NCI)
946,Accounting and Finance,NC022,337,,8,National College of Ireland (NCI)
947,Technology Management (with specialisations),NC023,261,,8,National College of Ireland (NCI)
952,Montessori Education,NM801,220,,8,St Nicholas Montessori College Ireland
955,"Social, Political and Community Studies",PC405,253,216,8,"Carlow College, St. Patrick`s"
956,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209,8,"Carlow College, St. Patrick`s"
957,English and History (fulfils Teaching Council requirements),PC411,255,209,8,"Carlow College, St. Patrick`s"
958,Medicine - Undergraduate Entry (HPAT required),RC001,733,,8,RCSI University of Medicine & Health Sciences
959,Physiotherapy,RC004,566,,8,RCSI University of Medicine & Health Sciences
960,Pharmacy,RC005,579,,8,RCSI University of Medicine & Health Sciences
961,Medicine - Graduate Entry (GAMSAT required),RC101,,,8,RCSI University of Medicine & Health Sciences
970,Business,SG141,261,,8,"Institute of Technology, Sligo"
971,Business in International Marketing and Languages (French),SG142,279,,8,"Institute of Technology, Sligo"
972,Business in International Marketing and Languages (Spanish),SG144,270,,8,"Institute of Technology, Sligo"
973,Accounting,SG146,309,,8,"Institute of Technology, Sligo"
974,Sport with Business,SG147,307,,8,"Institute of Technology, Sligo"
975,Tourism with Event Management,SG148,269,,8,"Institute of Technology, Sligo"
980,Performing Arts,SG241,328,,8,"Institute of Technology, Sligo"
981,Early Childhood Care and Education,SG242,279,,8,"Institute of Technology, Sligo"
982,Social Care Practice,SG243,301,,8,"Institute of Technology, Sligo"
983,Fine Art,SG244,505,,8,"Institute of Technology, Sligo"
984,Creative Design,SG245,282,,8,"Institute of Technology, Sligo"
985,Computing,SG246,290,,8,"Institute of Technology, Sligo"
986,English and Psychology,SG247,309,,8,"Institute of Technology, Sligo"
987,Sociology and Politics,SG248,281,,8,"Institute of Technology, Sligo"
988,Writing and Literature,SG249,297,,8,"Institute of Technology, Sligo"
989,Application Design and User Experience,SG250,412,,8,"Institute of Technology, Sligo"
990,Computing (Smart Technologies),SG251,327,,8,"Institute of Technology, Sligo"
991,Software Development,SG252,307,,8,"Institute of Technology, Sligo"
992,Computer Networks and Cloud Infrastructure,SG253,324,,8,"Institute of Technology, Sligo"
993,Writing and Literature Online,SG254,225,225,8,"Institute of Technology, Sligo"
1005,Civil Engineering,SG342,415,,8,"Institute of Technology, Sligo"
1006,Quantity Surveying,SG343,311,,8,"Institute of Technology, Sligo"
1007,Construction Project Management and Applied Technology,SG346,291,,8,"Institute of Technology, Sligo"
1008,Architecture,SG347,360,,8,"Institute of Technology, Sligo"
1009,Interior Architecture and Design,SG348,316,,8,"Institute of Technology, Sligo"
1020,Occupational Safety and Health,SG442,290,,8,"Institute of Technology, Sligo"
1021,Human Nutrition,SG443,356,,8,"Institute of Technology, Sligo"
1022,Science Undenominated,SG444,338,,8,"Institute of Technology, Sligo"
1023,Pharmaceutical Science with Drug Development,SG445,311,,8,"Institute of Technology, Sligo"
1024,Health Science and Physical Activity,SG447,328,,8,"Institute of Technology, Sligo"
1025,Forensic Investigation and Analysis,SG448,306,,8,"Institute of Technology, Sligo"
1026,Medical Biotechnology,SG449,341,,8,"Institute of Technology, Sligo"
1027,Environmental Science with Ecology (Level 8),SG450,300,,8,"Institute of Technology, Sligo"
1054,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,8,"Institute of Technology, Tralee"
1055,"TV, Radio and New Media (Level 8)",TL802,325,,8,"Institute of Technology, Tralee"
1056,Computing with Software Development,TL810,310,,8,"Institute of Technology, Tralee"
1057,Computing with Games Development,TL811,358,,8,"Institute of Technology, Tralee"
1058,Computing (Degree Award options),TL815,308,,8,"Institute of Technology, Tralee"
1059,Event Management (3 year programme),TL823,299,,8,"Institute of Technology, Tralee"
1060,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,8,"Institute of Technology, Tralee"
1061,Agricultural Engineering,TL844,300,,8,"Institute of Technology, Tralee"
1062,Civil Engineering,TL845,325,,8,"Institute of Technology, Tralee"
1063,Manufacturing Engineering,TL847,302,,8,"Institute of Technology, Tralee"
1064,Agricultural Science,TL848,308,,8,"Institute of Technology, Tralee"
1065,Wildlife Biology (Degree Award options),TL851,309,,8,"Institute of Technology, Tralee"
1066,Pharmaceutical Science (Degree Award options),TL855,317,,8,"Institute of Technology, Tralee"
1067,Veterinary Bioscience,TL858,308,,8,"Institute of Technology, Tralee"
1068,Health and Leisure (Degree Award options),TL871,300,,8,"Institute of Technology, Tralee"
1069,Health and Leisure with Massage,TL872,309,,8,"Institute of Technology, Tralee"
1070,Coaching and Sports Performance,TL873,289,,8,"Institute of Technology, Tralee"
1071,Early Childhood Care and Education,TL880,307,,8,"Institute of Technology, Tralee"
1072,Social Care,TL881,308,,8,"Institute of Technology, Tralee"
1073,Counselling with Addiction - Mature applicants only,TL889,,,8,"Institute of Technology, Tralee"
1074,General Nursing and Mature Applicants,TL890,440,414,8,"Institute of Technology, Tralee"
1075,Mental Health Nursing and Mature Applicants,TL891,389,378,8,"Institute of Technology, Tralee"
1076,Music,TR002,435,429,8,Trinity College Dublin
1077,History,TR003,497,493,8,Trinity College Dublin
1078,Law,TR004,566,565,8,Trinity College Dublin
1079,Philosophy,TR005,442,,8,Trinity College Dublin
1080,Psychology,TR006,567,555,8,Trinity College Dublin
1081,Clinical Speech and Language Studies,TR007,529,,8,Trinity College Dublin
1082,Music Education,TR009,420,,8,Trinity College Dublin
1083,History and Political Science,TR012,555,554,8,Trinity College Dublin
1084,"Philosophy, Political Science, Economics and Sociology",TR015,589,,8,Trinity College Dublin
1085,Deaf Studies,TR016,340,,8,Trinity College Dublin
1086,Law and Business,TR017,602,,8,Trinity College Dublin
1087,Law and French,TR018,565,,8,Trinity College Dublin
1088,Law and German,TR019,543,542,8,Trinity College Dublin
1089,Law and Political Science,TR020,602,,8,Trinity College Dublin
1090,"Classics, Ancient History and Archaeology",TR021,370,,8,Trinity College Dublin
1091,Early and Modern Irish,TR022,398,,8,Trinity College Dublin
1092,English Studies,TR023,487,476,8,Trinity College Dublin
1093,European Studies,TR024,544,542,8,Trinity College Dublin
1094,Drama and Theatre Studies,TR025,564,530,8,Trinity College Dublin
1095,Ancient and Medieval History and Culture,TR028,342,,8,Trinity College Dublin
1096,Political Science and Geography,TR029,526,520,8,Trinity College Dublin
1097,Mathematics,TR031,531,,8,Trinity College Dublin
1098,Engineering,TR032,510,509,8,Trinity College Dublin
1099,Computer Science,TR033,509,,8,Trinity College Dublin
1100,Management Science and Information Systems Studies,TR034,613,,8,Trinity College Dublin
1101,Theoretical Physics,TR035,543,,8,Trinity College Dublin
1102,Engineering with Management,TR038,532,,8,Trinity College Dublin
1103,Computer Science and Language,TR039,454,424,8,Trinity College Dublin
1104,Middle Eastern and European Languages and Cultures,TR040,466,,8,Trinity College Dublin
1105,Religion,TR041,368,,8,Trinity College Dublin
1106,Film,TR042,489,476,8,Trinity College Dublin
1107,History of Art and Architecture,TR043,393,354,8,Trinity College Dublin
1108,Medicine (HPAT required),TR051,735,734,8,Trinity College Dublin
1109,Dental Science,TR052,613,613,8,Trinity College Dublin
1110,Physiotherapy,TR053,566,566,8,Trinity College Dublin
1111,Occupational Therapy,TR054,533,,8,Trinity College Dublin
1112,Radiation Therapy,TR055,543,,8,Trinity College Dublin
1113,Human Health and Disease,TR056,565,,8,Trinity College Dublin
1114,Biological and Biomedical Sciences,TR060,543,543,8,Trinity College Dublin
1115,Chemical Sciences,TR061,517,510,8,Trinity College Dublin
1116,Geography and Geoscience,TR062,473,,8,Trinity College Dublin
1117,Physical Sciences,TR063,498,498,8,Trinity College Dublin
1118,Pharmacy,TR072,590,,8,Trinity College Dublin
1119,Global Business,TR080,589,,8,Trinity College Dublin
1120,"Business, Economic and Social Studies (BESS)",TR081,543,543,8,Trinity College Dublin
1121,Computer Science and Business,TR082,555,,8,Trinity College Dublin
1122,Sociology and Social Policy,TR083,498,487,8,Trinity College Dublin
1123,Social Studies (Social Work),TR084,462,,8,Trinity College Dublin
1124,Business Studies and French,TR085,540,531,8,Trinity College Dublin
1125,Business Studies and German,TR086,509,499,8,Trinity College Dublin
1126,Business Studies and Russian,TR087,474,465,8,Trinity College Dublin
1127,Business Studies and Polish,TR089,444,424,8,Trinity College Dublin
1128,Business Studies and Spanish,TR090,531,,8,Trinity College Dublin
1129,General Nursing (Meath and St James`s),TR091,429,,8,Trinity College Dublin
1130,General Nursing (Adelaide School of Nursing),TR093,430,429,8,Trinity College Dublin
1131,Mental Health Nursing,TR095,408,,8,Trinity College Dublin
1132,Intellectual Disability Nursing,TR097,396,,8,Trinity College Dublin
1133,Ancient History and Archaeology/Geography,TR111,352,,8,Trinity College Dublin
1134,Ancient History and Archaeology/History,TR112,529,,8,Trinity College Dublin
1135,Ancient History and Archaeology/History of Art and Architecture,TR113,337,,8,Trinity College Dublin
1136,Ancient History and Archaeology/Modern Language,TR114,337,,8,Trinity College Dublin
1137,Ancient History and Archaeology/Religion,TR117,342,,8,Trinity College Dublin
1138,Classical Civilisation/English Literature,TR166,498,496,8,Trinity College Dublin
1139,Classical Civilisation/History of Art and Architecture,TR173,335,,8,Trinity College Dublin
1140,Classical Civilisation/Modern Language,TR177,335,,8,Trinity College Dublin
1141,Classical Civilisation/Philosophy,TR179,499,,8,Trinity College Dublin
1142,Economics/Geography,TR198,534,,8,Trinity College Dublin
1143,Economics/History,TR202,534,,8,Trinity College Dublin
1144,Economics/Mathematics,TR207,566,,8,Trinity College Dublin
1145,Economics/Modern Language,TR208,534,,8,Trinity College Dublin
1146,Economics/Philosophy,TR209,534,,8,Trinity College Dublin
1147,Economics/Sociology,TR212,534,,8,Trinity College Dublin
1148,Classical Languages/English Literature,TR228,498,,8,Trinity College Dublin
1149,Classical Languages/History of Art and Architecture,TR231,349,,8,Trinity College Dublin
1150,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,8,Trinity College Dublin
1151,Classical Languages/Modern Language,TR239,349,,8,Trinity College Dublin
1152,English Literature/History,TR262,529,,8,Trinity College Dublin
1153,English Literature/History of Art and Architecture,TR263,498,497,8,Trinity College Dublin
1154,English Literature/Philosophy,TR269,499,,8,Trinity College Dublin
1155,English Literature/Sociology,TR272,498,,8,Trinity College Dublin
1156,English Literature/Drama Studies,TR276,#498,,8,Trinity College Dublin
1157,English Literature/Modern Language,TR277,498,495,8,Trinity College Dublin
1158,Film/Drama Studies,TR311,#521,,8,Trinity College Dublin
1159,Film/English Literature,TR312,521,,8,Trinity College Dublin
1160,Film/Music,TR320,521,,8,Trinity College Dublin
1161,Geography/History,TR322,529,,8,Trinity College Dublin
1162,Drama Studies/Modern Language,TR323,#473,,8,Trinity College Dublin
1163,Film/Modern Language,TR324,521,,8,Trinity College Dublin
1164,Film/History,TR325,529,,8,Trinity College Dublin
1165,Geography/Modern Language,TR326,352,,8,Trinity College Dublin
1166,Geography/Sociology,TR332,498,496,8,Trinity College Dublin
1167,History/History of Art and Architecture,TR443,529,,8,Trinity College Dublin
1168,History/Modern Language,TR447,529,,8,Trinity College Dublin
1169,History/Philosophy,TR449,529,,8,Trinity College Dublin
1170,History/Sociology,TR452,529,,8,Trinity College Dublin
1171,History/Religion,TR454,529,,8,Trinity College Dublin
1172,History of Art and Architecture/Modern Language,TR455,334,,8,Trinity College Dublin
1173,History of Art and Architecture/Philosophy,TR479,499,,8,Trinity College Dublin
1174,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,8,Trinity College Dublin
1175,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,8,Trinity College Dublin
1176,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,8,Trinity College Dublin
1177,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,8,Trinity College Dublin
1178,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,8,Trinity College Dublin
1179,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,8,Trinity College Dublin
1180,Mathematics/Modern Language,TR597,566,,8,Trinity College Dublin
1181,Mathematics/Music,TR598,566,,8,Trinity College Dublin
1182,Mathematics/Philosophy,TR599,566,,8,Trinity College Dublin
1183,Music/Philosophy,TR629,499,,8,Trinity College Dublin
1184,Music/Drama Studies,TR635,#473,,8,Trinity College Dublin
1185,Music/Modern Language,TR636,388,,8,Trinity College Dublin
1186,Music/Religion,TR638,388,,8,Trinity College Dublin
1187,Philosophy/Modern Language,TR639,499,,8,Trinity College Dublin
1188,Philosophy/Sociology,TR662,499,,8,Trinity College Dublin
1189,Religion/Classical Civilisation,TR663,342,,8,Trinity College Dublin
1190,Religion/English Literature,TR664,498,,8,Trinity College Dublin
1191,Religion/History of Art and Architecture,TR665,342,,8,Trinity College Dublin
1192,Religion/Modern Language,TR666,,,8,Trinity College Dublin
1193,French/Modern Language,TR667,403,,8,Trinity College Dublin
1194,German/Modern Language,TR668,389,,8,Trinity College Dublin
1195,Irish/Modern Language,TR669,368,,8,Trinity College Dublin
1196,Italian/Modern Language,TR670,381,,8,Trinity College Dublin
1197,Russian/Modern Language,TR671,332,,8,Trinity College Dublin
1198,Spanish/Modern Language,TR672,336,,8,Trinity College Dublin
1199,Sociology/Drama Studies,TR755,#498,,8,Trinity College Dublin
1200,Sociology/Modern Language,TR756,498,495,8,Trinity College Dublin
1204,Children`s and General Nursing (Integrated),TR911,511,510,8,Trinity College Dublin
1205,Midwifery,TR913,478,477,8,Trinity College Dublin
1286,Biomedical Design,TU801,235,,8,Technological University Dublin
1287,Electrical Services and Energy Management,TU802,317,300,8,Technological University Dublin
1288,Electronic Engineering,TU803,243,243,8,Technological University Dublin
1289,Engineering (Common Entry with Award options),TU804,271,,8,Technological University Dublin
1290,Engineering (General Entry),TU805,402,,8,Technological University Dublin
1291,Sustainable Energy Engineering,TU806,262,,8,Technological University Dublin
1292,Computer Engineering in Mobile Systems,TU807,276,,8,Technological University Dublin
1293,Engineering Software,TU808,260,260,8,Technological University Dublin
1294,Mechanical Engineering,TU809,235,,8,Technological University Dublin
1295,Mechatronic Engineering,TU810,270,,8,Technological University Dublin
1296,Product Design,TU811,411,,8,Technological University Dublin
1297,"Design,Technology and Innovation",TU812,270,,8,Technological University Dublin
1298,Automation Engineering,TU813,218,218,8,Technological University Dublin
1299,Transport Operations and Technology,TU814,285,251,8,Technological University Dublin
1300,Architectural Technology,TU831,410,,8,Technological University Dublin
1301,Architecture (Suitability Test and Interview),TU832,622,,8,Technological University Dublin
1302,Construction Management,TU833,367,,8,Technological University Dublin
1303,Geographic Science,TU834,288,,8,Technological University Dublin
1304,Planning and Environmental Management,TU835,313,,8,Technological University Dublin
1305,Property Economics (Valuation Surveying),TU836,401,,8,Technological University Dublin
1306,Quantity Surveying and Construction Economics,TU837,385,,8,Technological University Dublin
1307,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,8,Technological University Dublin
1308,Chemical Sciences with Medicinal Chemistry,TU852,476,,8,Technological University Dublin
1309,Science (General Entry),TU854,476,,8,Technological University Dublin
1310,Science with Nanotechnology,TU855,331,319,8,Technological University Dublin
1311,Computer Science,TU856,476,,8,Technological University Dublin
1312,Computer Science (Infrastructure),TU857,391,,8,Technological University Dublin
1313,Computer Science (International),TU858,377,,8,Technological University Dublin
1314,Computing,TU859,217,234,8,Technological University Dublin
1315,Computing (Information Technology),TU860,260,,8,Technological University Dublin
1316,Computing with Language (French/German/Spanish),TU861,308,308,8,Technological University Dublin
1317,Computing with Data Analytics,TU862,226,226,8,Technological University Dublin
1318,Digital Forensics and Cyber Security,TU863,280,,8,Technological University Dublin
1319,DNA and Forensic Analysis,TU864,400,390,8,Technological University Dublin
1320,Computing with IT Management,TU865,226,,8,Technological University Dublin
1321,Biomedical and Molecular Diagnostics,TU866,487,,8,Technological University Dublin
1322,Biomedical Science,TU867,524,,8,Technological University Dublin
1323,Clinical Measurement Science,TU868,510,,8,Technological University Dublin
1324,Environmental Health,TU869,336,,8,Technological University Dublin
1325,Human Nutrition and Dietetics,TU870,578,,8,Technological University Dublin
1326,Optometry,TU871,509,,8,Technological University Dublin
1327,Public Health Nutrition,TU872,491,,8,Technological University Dublin
1328,Industrial Mathematics,TU873,250,250,8,Technological University Dublin
1329,Mathematical Sciences,TU874,341,,8,Technological University Dublin
1330,Pharmaceutical Healthcare,TU875,400,,8,Technological University Dublin
1331,Pharmaceutical Science,TU876,377,349,8,Technological University Dublin
1332,Physics Technology,TU877,308,,8,Technological University Dublin
1333,Physics with Energy and Environment,TU878,337,337,8,Technological University Dublin
1334,Physics with Medical Physics and Bioengineering,TU879,351,,8,Technological University Dublin
1335,Physics with Data Science,TU880,578,,8,Technological University Dublin
1336,Food Innovation,TU881,318,,8,Technological University Dublin
1337,Nutraceuticals in Health and Nutrition,TU882,397,,8,Technological University Dublin
1338,Business,TU901,270,,8,Technological University Dublin
1339,Business (Common Entry with Award options),TU902,271,,8,Technological University Dublin
1340,Business and Management,TU903,463,,8,Technological University Dublin
1341,Business and Law,TU904,462,,8,Technological University Dublin
1342,Economics and Finance,TU905,465,,8,Technological University Dublin
1343,Human Resource Management,TU906,395,,8,Technological University Dublin
1344,Logistics and Supply Chain Management,TU907,300,,8,Technological University Dublin
1345,Management,TU908,262,253,8,Technological University Dublin
1346,Accounting and Finance,TU909,285,,8,Technological University Dublin
1347,Accounting and Finance,TU910,444,,8,Technological University Dublin
1348,Accounting and Finance,TU911,209,192,8,Technological University Dublin
1349,Business Analytics,TU912,330,,8,Technological University Dublin
1350,Business and Information Technology,TU913,252,,8,Technological University Dublin
1351,Business Computing,TU914,324,,8,Technological University Dublin
1352,International Business,TU915,252,,8,Technological University Dublin
1353,International Business,TU916,235,235,8,Technological University Dublin
1354,Law (LLB ) with a Language,TU917,342,,8,Technological University Dublin
1355,Law (LLB),TU918,451,,8,Technological University Dublin
1356,Advertising and Marketing Communications,TU919,228,226,8,Technological University Dublin
1357,Digital Marketing,TU920,270,,8,Technological University Dublin
1358,Digital Marketing Technologies,TU921,212,212,8,Technological University Dublin
1359,Marketing,TU922,418,,8,Technological University Dublin
1360,Marketing Management,TU923,228,276,8,Technological University Dublin
1361,E-Commerce in Retailing,TU924,307,,8,Technological University Dublin
1362,Retail and Services Management,TU925,301,,8,Technological University Dublin
1363,Sports Management and Coaching,TU935,300,,8,Technological University Dublin
1364,Sports Science and Health,TU936,410,391,8,Technological University Dublin
1365,Botanical Cuisine,TU941,249,,8,Technological University Dublin
1366,Culinary Arts,TU942,212,212,8,Technological University Dublin
1367,Culinary Entrepreneurship,TU943,278,,8,Technological University Dublin
1368,Culinary Science,TU944,316,,8,Technological University Dublin
1369,International Hospitality and Tourism Management,TU951,184,184,8,Technological University Dublin
1370,International Hospitality Management,TU952,300,,8,Technological University Dublin
1371,Tourism and Digital Marketing,TU953,290,,8,Technological University Dublin
1372,Event Management,TU954,356,,8,Technological University Dublin
1373,Sports & Leisure Management,TU955,217,317,8,Technological University Dublin
1374,Commercial Modern Music,TU961,608,608,8,Technological University Dublin
1375,Drama (Performance),TU962,379,,8,Technological University Dublin
1376,Music,TU963,416,,8,Technological University Dublin
1377,International Business and Languages,TU965,356,346,8,Technological University Dublin
1378,Languages and English Studies,TU966,366,,8,Technological University Dublin
1379,Languages and International Tourism,TU967,308,,8,Technological University Dublin
1380,Contemporary Visual Culture,TU971,290,,8,Technological University Dublin
1381,Creative and Cultural Industries,TU972,281,,8,Technological University Dublin
1382,Design - Visual Communication,TU973,717,,8,Technological University Dublin
1383,Fine Art,TU974,709,563,8,Technological University Dublin
1384,Interior Design,TU975,632,,8,Technological University Dublin
1385,Photography,TU976,695,,8,Technological University Dublin
1386,Creative Digital Media,TU981,280,,8,Technological University Dublin
1387,Creative Digital Media,TU982,320,311,8,Technological University Dublin
1388,Film and Broadcasting,TU983,456,451,8,Technological University Dublin
1389,Game Design,TU984,381,,8,Technological University Dublin
1390,Journalism,TU985,322,,8,Technological University Dublin
1391,Print Media Technology and Management,TU986,289,,8,Technological University Dublin
1392,Applied Social Studies in Social Care,TU991,325,,8,Technological University Dublin
1393,Community and Youth Development,TU992,251,,8,Technological University Dublin
1394,Early Childhood Care and Education,TU993,270,,8,Technological University Dublin
1395,Early Childhood Care and Education,TU994,321,251,8,Technological University Dublin
1396,Early Childhood Education,TU995,367,,8,Technological University Dublin
1397,Social Care,TU996,400,,8,Technological University Dublin
1398,Applied Social Care,TU997,310,283,8,Technological University Dublin
1399,Applied Computing (options),WD001,260,260,8,Waterford Institute of Technology
1400,Science (options),WD002,308,,8,Waterford Institute of Technology
1402,Health Sciences (options),WD005,280,,8,Waterford Institute of Technology
1403,Exercise Sciences (options),WD006,280,,8,Waterford Institute of Technology
1404,Engineering (options),WD007,288,288,8,Waterford Institute of Technology
1410,Construction Management and Engineering,WD025,269,,8,Waterford Institute of Technology
1411,Music,WD027,262,,8,Waterford Institute of Technology
1412,Business (options),WD048,271,,8,Waterford Institute of Technology
1414,Accounting,WD084,308,,8,Waterford Institute of Technology
1415,Hospitality Management,WD091,228,,8,Waterford Institute of Technology
1419,General Nursing,WD116,422,,8,Waterford Institute of Technology
1420,Psychiatric Nursing,WD117,366,,8,Waterford Institute of Technology
1421,Intellectual Disability Nursing,WD120,377,,8,Waterford Institute of Technology
1423,International Business,WD134,290,,8,Waterford Institute of Technology
1424,Design (Visual Communications),WD137,271,,8,Waterford Institute of Technology
1426,Laws,WD140,280,,8,Waterford Institute of Technology
1427,Architecture,WD144,284,,8,Waterford Institute of Technology
1428,Pharmaceutical Science,WD147,293,,8,Waterford Institute of Technology
1429,Early Childhood Studies,WD149,271,,8,Waterford Institute of Technology
1430,Criminal Justice Studies,WD150,270,,8,Waterford Institute of Technology
1432,Visual Art,WD152,AQA,,8,Waterford Institute of Technology
1436,Computer Forensics and Security,WD161,255,,8,Waterford Institute of Technology
1437,Quantity Surveying,WD162,216,,8,Waterford Institute of Technology
1438,Psychology,WD163,434,,8,Waterford Institute of Technology
1447,Sports Coaching and Performance,WD186,270,,8,Waterford Institute of Technology
1448,Social Science,WD187,272,,8,Waterford Institute of Technology
1450,Agricultural Science,WD191,377,,8,Waterford Institute of Technology
1451,Social Care Practice,WD192,270,,8,Waterford Institute of Technology
1452,Marketing and Digital Media,WD193,271,,8,Waterford Institute of Technology
1453,Culinary Arts,WD194,217,,8,Waterford Institute of Technology
1454,Architectural and Building Information Modelling Technology,WD195,279,,8,Waterford Institute of Technology
1455,Arts (options),WD200,AQA,AQA,8,Waterford Institute of Technology
1460,Software Systems Development,WD210,279,,8,Waterford Institute of Technology
1461,Creative Computing,WD211,271,,8,Waterford Institute of Technology
1462,Recreation and Sport Management,WD212,270,,8,Waterford Institute of Technology
1463,Mechanical and Manufacturing Engineering,WD230,253,,8,Waterford Institute of Technology
