,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS
708,Mental Health Nursing,GY516,440,
709,Midwifery,GY517,495,
710,Accounting and Finance,ID001,203,
711,Business Studies,ID002,294,
712,"Art and Design (Common Entry, portfolio)",LC110,740,
713,Fashion and Textiles for Product and Costume (portfolio),LC114,880,
714,Art and Design Teacher Education (portfolio),LC115,942,
715,Digital Marketing,LC220,262,
718,Law and Taxation,LC223,307,
719,Accounting and Finance,LC224,300,
720,Marketing and Management,LC225,298,
721,Enterprise and Innovation,LC226,234,234
724,Software Development,LC233,272,
725,Interactive Digital Media,LC234,225,
727,Internet Systems Development,LC236,262,260
728,Computer Networks and Systems Management,LC239,307,
729,Construction Management,LC241,255,
730,Property Valuation and Management,LC242,282,
731,Quantity Surveying,LC243,294,
732,Built Environment (Common Entry),LC248,288,
734,Civil Engineering Management,LC252,270,
737,Clinical Technology,LC263,294,
738,Forensic and Pharmaceutical Sciences,LC265,413,
739,Drug and Medicinal Product Analysis,LC266,262,
744,Electrical Engineering,LC275,298,
754,Mechanical Engineering,LC288,347,346
755,Precision Engineering,LC289,291,
757,Social Care Work,LC292,367,
758,Business Studies with Travel and Tourism Management,LC293,307,
759,Business Studies with Event Management,LC294,279,
760,Business Studies with Sports Management,LC295,252,
761,Community Development,LC297,235,
762,Business,LC320,346,
763,Business with Computing,LC330,297,
765,Interior Design,LC340,350,
766,Biotechnology and Biopharmaceutical Sciences,LC362,413,
767,Creative Broadcast and Film Production,LC371,309,
768,Music Technology and Production,LC372,325,
769,Renewable and Electrical Energy Engineering,LC374,318,
770,Industrial Automation and Robotic Systems,LC375,317,
771,Electronic Engineering,LC376,318,
772,Automotive Engineering and Transport Management,LC380,303,298
773,Business Studies in Beauty and Spa Management,LC392,236,
774,Early Childhood Education and Care,LC393,236,
777,Early Childhood Education and Care,LC401,297,
778,Social Care Work,LC402,225,
779,Environmental Science and Climate,LC408,279,
780,Data Analytics and Cyber Security,LC414,236,
782,Business,LC416,274,
783,Computing - Games Design and Development,LC418,270,
784,Sports Strength and Conditioning,LC422,298,
789,Environmental Science and Agriculture,LC434,297,
790,Game Art and Design (portfolio),LC502,852,
792,Creative Media and Design,LC517,234,
793,Digital Animation Production (portfolio),LC518,808,
797,Social Care Work,LC612,320,
798,Early Childhood Education and Care,LC613,242,
799,Arts,LM002,348,
800,Law and Accounting,LM020,465,
801,Performing Arts (audition required),LM026,303,
802,Criminal Justice,LM028,418,
803,Law Plus,LM029,490,
804,Psychology and Sociology,LM038,500,
805,Journalism and Digital Communication,LM039,402,
806,European Studies,LM040,369,
807,Applied Languages,LM044,442,
808,Business Studies (options),LM050,431,
809,International Business,LM056,528,
810,Financial Mathematics,LM058,403,
811,Technology Management,LM063,379,
812,Food Science and Health,LM068,421,
813,Product Design and Technology (portfolio required),LM076,408,
814,Aeronautical Engineering,LM077,520,
815,Construction Management and Engineering,LM082,398,
816,Sport and Exercise Sciences,LM089,474,
817,Physical Education with concurrent Teacher Education,LM090,532,
818,Languages with concurrent Teacher Education,LM091,517,
819,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,
820,Equine Science,LM093,339,
821,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,
822,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,
823,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,
824,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,
825,Architecture (portfolio requirement suspended),LM099,498,
826,Physiotherapy,LM100,589,
827,Medicine  - Graduate Entry (GAMSAT required),LM101,55,
828,Psychology,LM102,509,
829,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,
830,Chemical and Biochemical Engineering,LM115,454,
831,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,
832,Electronic and Computer Engineering,LM118,403,
833,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,
834,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,
835,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,
836,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,
837,Physics (Applied Physics or Mathematics & Physics),LM125,404,
838,General Nursing,LM150,475,
839,Mental Health Nursing,LM152,419,
840,Intellectual Disability Nursing,LM154,420,
841,Midwifery,LM156,469,
844,Business - Accounting,LY108,309,
845,Business,LY118,290,
848,Law,LY208,300,
849,Sports and Exercise - Common Entry,LY228,300,
852,Design - Common Entry,LY408,320,
858,Fire Safety Engineering,LY508,276,
859,Quantity Surveying,LY518,301,
861,Construction Management,LY528,271,
863,Mechanical Engineering,LY608,300,
865,Electronic Engineering,LY618,312,
867,Applied Computing,LY708,306,
870,Computer Science,LY748,317,317
874,Science - Common Entry,LY818,303,
876,Agriculture - Common Entry,LY828,307,
884,General Nursing,LY908,400,
886,Psychiatric Nursing,LY918,357,
887,Intellectual Disability Nursing,LY928,326,
888,"Early Childhood Care, Health and Education",LY968,303,
889,Health & Social Care - Common Entry,LY978,280,
890,Education - Primary Teaching (Froebel),MH001,507,
891,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,
892,Arts,MH101,318,
893,Music,MH103,#,
894,Psychology - 3 years,MH106,521,
895,Social Science,MH107,346,
896,Media Studies,MH109,316,
897,Community and Youth Work (Full-Time),MH116,#,
898,Science,MH201,360,
899,Biotechnology,MH202,455,
900,Biological and Geographical Sciences,MH203,430,
901,Physics with Astrophysics,MH204,422,
902,Theoretical Physics and Mathematics,MH206,510,
903,Data Science,MH207,445,
904,Biological and Biomedical Sciences,MH208,498,
905,Psychology (through Science) - 4 years,MH209,498,
906,Pharmaceutical and Biomedical Chemistry,MH210,487,
907,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,
908,Engineering (Computer/Electronic/Communications),MH304,333,333
909,Product Design,MH305,357,
910,Robotics and Intelligent Devices,MH306,361,
911,Finance (options),MH401,357,
912,Quantitative Finance,MH402,476,
913,Accounting and Finance,MH403,422,
914,Business (options),MH404,430,
915,Equine Business,MH405,357,
916,Business and Accounting,MH407,420,
917,Entrepreneurship,MH411,371,
918,LLB Law - four year Single Major Law programme,MH501,473,
919,Law (options),MH502,451,
920,Computer Science through Arts (options),MH601,352,
921,Computer Science through Science (options),MH602,351,
922,Computational Thinking,MH603,532,
923,Early Childhood - Teaching and Learning (part-time),MH801,327,
924,"Community and Youth Work (part-time, in service)",MH802,#,#
925,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,#
926,Contemporary & Applied Theatre Studies,MI001,375,
927,Arts,MI002,300,281
928,Education - Primary Teaching - International,MI004,577,
929,Education - Primary Teaching,MI005,495,
930,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,
931,Early Childhood Care and Education,MI007,357,
932,Education and Psychology - Primary Teaching,MI008,588,
933,"Education, Business Studies and Accounting",MI009,402,
934,"Education, Business Studies and Religious Studies",MI010,368,
935,"Education, Gaeilge and Religious Studies",MI011,409,
936,"Education, Gaeilge and Business Studies",MI012,401,
937,"Education, Mathematics and Gaeilge",MI013,444,
938,"Education, Mathematics and Business Studies",MI014,434,
939,Theology and Arts,MU001,290,290
940,Theology,MU002,440,
941,Computing (Degree Award options),NC003,260,
942,Human Resource Management,NC005,300,
943,Business,NC009,300,
944,Psychology,NC010,400,
945,Marketing Practice,NC020,280,
946,Accounting and Finance,NC022,337,
947,Technology Management (with specialisations),NC023,261,
952,Montessori Education,NM801,220,
955,"Social, Political and Community Studies",PC405,253,216
956,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,209
957,English and History (fulfils Teaching Council requirements),PC411,255,209
958,Medicine - Undergraduate Entry (HPAT required),RC001,733,
959,Physiotherapy,RC004,566,
960,Pharmacy,RC005,579,
961,Medicine - Graduate Entry (GAMSAT required),RC101,,
970,Business,SG141,261,
971,Business in International Marketing and Languages (French),SG142,279,
972,Business in International Marketing and Languages (Spanish),SG144,270,
973,Accounting,SG146,309,
974,Sport with Business,SG147,307,
975,Tourism with Event Management,SG148,269,
980,Performing Arts,SG241,328,
981,Early Childhood Care and Education,SG242,279,
982,Social Care Practice,SG243,301,
983,Fine Art,SG244,505,
984,Creative Design,SG245,282,
985,Computing,SG246,290,
986,English and Psychology,SG247,309,
987,Sociology and Politics,SG248,281,
988,Writing and Literature,SG249,297,
989,Application Design and User Experience,SG250,412,
990,Computing (Smart Technologies),SG251,327,
991,Software Development,SG252,307,
992,Computer Networks and Cloud Infrastructure,SG253,324,
993,Writing and Literature Online,SG254,225,225
1005,Civil Engineering,SG342,415,
1006,Quantity Surveying,SG343,311,
1007,Construction Project Management and Applied Technology,SG346,291,
1008,Architecture,SG347,360,
1009,Interior Architecture and Design,SG348,316,
1020,Occupational Safety and Health,SG442,290,
1021,Human Nutrition,SG443,356,
1022,Science Undenominated,SG444,338,
1023,Pharmaceutical Science with Drug Development,SG445,311,
1024,Health Science and Physical Activity,SG447,328,
1025,Forensic Investigation and Analysis,SG448,306,
1026,Medical Biotechnology,SG449,341,
1027,Environmental Science with Ecology (Level 8),SG450,300,
1054,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,
1055,"TV, Radio and New Media (Level 8)",TL802,325,
1056,Computing with Software Development,TL810,310,
1057,Computing with Games Development,TL811,358,
1058,Computing (Degree Award options),TL815,308,
1059,Event Management (3 year programme),TL823,299,
1060,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,
1061,Agricultural Engineering,TL844,300,
1062,Civil Engineering,TL845,325,
1063,Manufacturing Engineering,TL847,302,
1064,Agricultural Science,TL848,308,
1065,Wildlife Biology (Degree Award options),TL851,309,
1066,Pharmaceutical Science (Degree Award options),TL855,317,
1067,Veterinary Bioscience,TL858,308,
1068,Health and Leisure (Degree Award options),TL871,300,
1069,Health and Leisure with Massage,TL872,309,
1070,Coaching and Sports Performance,TL873,289,
1071,Early Childhood Care and Education,TL880,307,
1072,Social Care,TL881,308,
1073,Counselling with Addiction - Mature applicants only,TL889,,
1074,General Nursing and Mature Applicants,TL890,440,414
1075,Mental Health Nursing and Mature Applicants,TL891,389,378
1076,Music,TR002,435,429
1077,History,TR003,497,493
1078,Law,TR004,566,565
1079,Philosophy,TR005,442,
1080,Psychology,TR006,567,555
1081,Clinical Speech and Language Studies,TR007,529,
1082,Music Education,TR009,420,
1083,History and Political Science,TR012,555,554
1084,"Philosophy, Political Science, Economics and Sociology",TR015,589,
1085,Deaf Studies,TR016,340,
1086,Law and Business,TR017,602,
1087,Law and French,TR018,565,
1088,Law and German,TR019,543,542
1089,Law and Political Science,TR020,602,
1090,"Classics, Ancient History and Archaeology",TR021,370,
1091,Early and Modern Irish,TR022,398,
1092,English Studies,TR023,487,476
1093,European Studies,TR024,544,542
1094,Drama and Theatre Studies,TR025,564,530
1095,Ancient and Medieval History and Culture,TR028,342,
1096,Political Science and Geography,TR029,526,520
1097,Mathematics,TR031,531,
1098,Engineering,TR032,510,509
1099,Computer Science,TR033,509,
1100,Management Science and Information Systems Studies,TR034,613,
1101,Theoretical Physics,TR035,543,
1102,Engineering with Management,TR038,532,
1103,Computer Science and Language,TR039,454,424
1104,Middle Eastern and European Languages and Cultures,TR040,466,
1105,Religion,TR041,368,
1106,Film,TR042,489,476
1107,History of Art and Architecture,TR043,393,354
1108,Medicine (HPAT required),TR051,735,734
1109,Dental Science,TR052,613,613
1110,Physiotherapy,TR053,566,566
1111,Occupational Therapy,TR054,533,
1112,Radiation Therapy,TR055,543,
1113,Human Health and Disease,TR056,565,
1114,Biological and Biomedical Sciences,TR060,543,543
1115,Chemical Sciences,TR061,517,510
1116,Geography and Geoscience,TR062,473,
1117,Physical Sciences,TR063,498,498
1118,Pharmacy,TR072,590,
1119,Global Business,TR080,589,
1120,"Business, Economic and Social Studies (BESS)",TR081,543,543
1121,Computer Science and Business,TR082,555,
1122,Sociology and Social Policy,TR083,498,487
1123,Social Studies (Social Work),TR084,462,
1124,Business Studies and French,TR085,540,531
1125,Business Studies and German,TR086,509,499
1126,Business Studies and Russian,TR087,474,465
1127,Business Studies and Polish,TR089,444,424
1128,Business Studies and Spanish,TR090,531,
1129,General Nursing (Meath and St James`s),TR091,429,
1130,General Nursing (Adelaide School of Nursing),TR093,430,429
1131,Mental Health Nursing,TR095,408,
1132,Intellectual Disability Nursing,TR097,396,
1133,Ancient History and Archaeology/Geography,TR111,352,
1134,Ancient History and Archaeology/History,TR112,529,
1135,Ancient History and Archaeology/History of Art and Architecture,TR113,337,
1136,Ancient History and Archaeology/Modern Language,TR114,337,
1137,Ancient History and Archaeology/Religion,TR117,342,
1138,Classical Civilisation/English Literature,TR166,498,496
1139,Classical Civilisation/History of Art and Architecture,TR173,335,
1140,Classical Civilisation/Modern Language,TR177,335,
1141,Classical Civilisation/Philosophy,TR179,499,
1142,Economics/Geography,TR198,534,
1143,Economics/History,TR202,534,
1144,Economics/Mathematics,TR207,566,
1145,Economics/Modern Language,TR208,534,
1146,Economics/Philosophy,TR209,534,
1147,Economics/Sociology,TR212,534,
1148,Classical Languages/English Literature,TR228,498,
1149,Classical Languages/History of Art and Architecture,TR231,349,
1150,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,
1151,Classical Languages/Modern Language,TR239,349,
1152,English Literature/History,TR262,529,
1153,English Literature/History of Art and Architecture,TR263,498,497
1154,English Literature/Philosophy,TR269,499,
1155,English Literature/Sociology,TR272,498,
1156,English Literature/Drama Studies,TR276,#498,
1157,English Literature/Modern Language,TR277,498,495
1158,Film/Drama Studies,TR311,#521,
1159,Film/English Literature,TR312,521,
1160,Film/Music,TR320,521,
1161,Geography/History,TR322,529,
1162,Drama Studies/Modern Language,TR323,#473,
1163,Film/Modern Language,TR324,521,
1164,Film/History,TR325,529,
1165,Geography/Modern Language,TR326,352,
1166,Geography/Sociology,TR332,498,496
1167,History/History of Art and Architecture,TR443,529,
1168,History/Modern Language,TR447,529,
1169,History/Philosophy,TR449,529,
1170,History/Sociology,TR452,529,
1171,History/Religion,TR454,529,
1172,History of Art and Architecture/Modern Language,TR455,334,
1173,History of Art and Architecture/Philosophy,TR479,499,
1174,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,
1175,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,
1176,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,
1177,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,
1178,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,
1179,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,
1180,Mathematics/Modern Language,TR597,566,
1181,Mathematics/Music,TR598,566,
1182,Mathematics/Philosophy,TR599,566,
1183,Music/Philosophy,TR629,499,
1184,Music/Drama Studies,TR635,#473,
1185,Music/Modern Language,TR636,388,
1186,Music/Religion,TR638,388,
1187,Philosophy/Modern Language,TR639,499,
1188,Philosophy/Sociology,TR662,499,
1189,Religion/Classical Civilisation,TR663,342,
1190,Religion/English Literature,TR664,498,
1191,Religion/History of Art and Architecture,TR665,342,
1192,Religion/Modern Language,TR666,,
1193,French/Modern Language,TR667,403,
1194,German/Modern Language,TR668,389,
1195,Irish/Modern Language,TR669,368,
1196,Italian/Modern Language,TR670,381,
1197,Russian/Modern Language,TR671,332,
1198,Spanish/Modern Language,TR672,336,
1199,Sociology/Drama Studies,TR755,#498,
1200,Sociology/Modern Language,TR756,498,495
1204,Children`s and General Nursing (Integrated),TR911,511,510
1205,Midwifery,TR913,478,477
1286,Biomedical Design,TU801,235,
1287,Electrical Services and Energy Management,TU802,317,300
1288,Electronic Engineering,TU803,243,243
1289,Engineering (Common Entry with Award options),TU804,271,
1290,Engineering (General Entry),TU805,402,
1291,Sustainable Energy Engineering,TU806,262,
1292,Computer Engineering in Mobile Systems,TU807,276,
1293,Engineering Software,TU808,260,260
1294,Mechanical Engineering,TU809,235,
1295,Mechatronic Engineering,TU810,270,
1296,Product Design,TU811,411,
1297,"Design,Technology and Innovation",TU812,270,
1298,Automation Engineering,TU813,218,218
1299,Transport Operations and Technology,TU814,285,251
1300,Architectural Technology,TU831,410,
1301,Architecture (Suitability Test and Interview),TU832,622,
1302,Construction Management,TU833,367,
1303,Geographic Science,TU834,288,
1304,Planning and Environmental Management,TU835,313,
1305,Property Economics (Valuation Surveying),TU836,401,
1306,Quantity Surveying and Construction Economics,TU837,385,
1307,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,
1308,Chemical Sciences with Medicinal Chemistry,TU852,476,
1309,Science (General Entry),TU854,476,
1310,Science with Nanotechnology,TU855,331,319
1311,Computer Science,TU856,476,
1312,Computer Science (Infrastructure),TU857,391,
1313,Computer Science (International),TU858,377,
1314,Computing,TU859,217,234
1315,Computing (Information Technology),TU860,260,
1316,Computing with Language (French/German/Spanish),TU861,308,308
1317,Computing with Data Analytics,TU862,226,226
1318,Digital Forensics and Cyber Security,TU863,280,
1319,DNA and Forensic Analysis,TU864,400,390
1320,Computing with IT Management,TU865,226,
1321,Biomedical and Molecular Diagnostics,TU866,487,
1322,Biomedical Science,TU867,524,
1323,Clinical Measurement Science,TU868,510,
1324,Environmental Health,TU869,336,
1325,Human Nutrition and Dietetics,TU870,578,
1326,Optometry,TU871,509,
1327,Public Health Nutrition,TU872,491,
1328,Industrial Mathematics,TU873,250,250
1329,Mathematical Sciences,TU874,341,
1330,Pharmaceutical Healthcare,TU875,400,
1331,Pharmaceutical Science,TU876,377,349
1332,Physics Technology,TU877,308,
1333,Physics with Energy and Environment,TU878,337,337
1334,Physics with Medical Physics and Bioengineering,TU879,351,
1335,Physics with Data Science,TU880,578,
1336,Food Innovation,TU881,318,
1337,Nutraceuticals in Health and Nutrition,TU882,397,
1338,Business,TU901,270,
1339,Business (Common Entry with Award options),TU902,271,
1340,Business and Management,TU903,463,
1341,Business and Law,TU904,462,
1342,Economics and Finance,TU905,465,
1343,Human Resource Management,TU906,395,
1344,Logistics and Supply Chain Management,TU907,300,
1345,Management,TU908,262,253
1346,Accounting and Finance,TU909,285,
1347,Accounting and Finance,TU910,444,
1348,Accounting and Finance,TU911,209,192
1349,Business Analytics,TU912,330,
1350,Business and Information Technology,TU913,252,
1351,Business Computing,TU914,324,
1352,International Business,TU915,252,
1353,International Business,TU916,235,235
1354,Law (LLB ) with a Language,TU917,342,
1355,Law (LLB),TU918,451,
1356,Advertising and Marketing Communications,TU919,228,226
1357,Digital Marketing,TU920,270,
1358,Digital Marketing Technologies,TU921,212,212
1359,Marketing,TU922,418,
1360,Marketing Management,TU923,228,276
1361,E-Commerce in Retailing,TU924,307,
1362,Retail and Services Management,TU925,301,
1363,Sports Management and Coaching,TU935,300,
1364,Sports Science and Health,TU936,410,391
1365,Botanical Cuisine,TU941,249,
1366,Culinary Arts,TU942,212,212
1367,Culinary Entrepreneurship,TU943,278,
1368,Culinary Science,TU944,316,
1369,International Hospitality and Tourism Management,TU951,184,184
1370,International Hospitality Management,TU952,300,
1371,Tourism and Digital Marketing,TU953,290,
1372,Event Management,TU954,356,
1373,Sports & Leisure Management,TU955,217,317
1374,Commercial Modern Music,TU961,608,608
1375,Drama (Performance),TU962,379,
1376,Music,TU963,416,
1377,International Business and Languages,TU965,356,346
1378,Languages and English Studies,TU966,366,
1379,Languages and International Tourism,TU967,308,
1380,Contemporary Visual Culture,TU971,290,
1381,Creative and Cultural Industries,TU972,281,
1382,Design - Visual Communication,TU973,717,
1383,Fine Art,TU974,709,563
1384,Interior Design,TU975,632,
1385,Photography,TU976,695,
1386,Creative Digital Media,TU981,280,
1387,Creative Digital Media,TU982,320,311
1388,Film and Broadcasting,TU983,456,451
1389,Game Design,TU984,381,
1390,Journalism,TU985,322,
1391,Print Media Technology and Management,TU986,289,
1392,Applied Social Studies in Social Care,TU991,325,
1393,Community and Youth Development,TU992,251,
1394,Early Childhood Care and Education,TU993,270,
1395,Early Childhood Care and Education,TU994,321,251
1396,Early Childhood Education,TU995,367,
1397,Social Care,TU996,400,
1398,Applied Social Care,TU997,310,283
1399,Applied Computing (options),WD001,260,260
1400,Science (options),WD002,308,
1402,Health Sciences (options),WD005,280,
1403,Exercise Sciences (options),WD006,280,
1404,Engineering (options),WD007,288,288
1410,Construction Management and Engineering,WD025,269,
1411,Music,WD027,262,
1412,Business (options),WD048,271,
1414,Accounting,WD084,308,
1415,Hospitality Management,WD091,228,
1419,General Nursing,WD116,422,
1420,Psychiatric Nursing,WD117,366,
1421,Intellectual Disability Nursing,WD120,377,
1423,International Business,WD134,290,
1424,Design (Visual Communications),WD137,271,
1426,Laws,WD140,280,
1427,Architecture,WD144,284,
1428,Pharmaceutical Science,WD147,293,
1429,Early Childhood Studies,WD149,271,
1430,Criminal Justice Studies,WD150,270,
1432,Visual Art,WD152,AQA,
1436,Computer Forensics and Security,WD161,255,
1437,Quantity Surveying,WD162,216,
1438,Psychology,WD163,434,
1447,Sports Coaching and Performance,WD186,270,
1448,Social Science,WD187,272,
1450,Agricultural Science,WD191,377,
1451,Social Care Practice,WD192,270,
1452,Marketing and Digital Media,WD193,271,
1453,Culinary Arts,WD194,217,
1454,Architectural and Building Information Modelling Technology,WD195,279,
1455,Arts (options),WD200,AQA,AQA
1460,Software Systems Development,WD210,279,
1461,Creative Computing,WD211,271,
1462,Recreation and Sport Management,WD212,270,
1463,Mechanical and Manufacturing Engineering,WD230,253,
